,X,cluster,y
bill_files\filtered\HB0253_1999,0.7621666538771011,0,1.178925884338384
bill_files\filtered\HB0372_1999,0.7198119212901498,0,1.2042643825973485
bill_files\filtered\HB0371_1997,0.7151141306123306,0,1.2092413583030992
bill_files\filtered\HB0370_1999,0.4222801270609555,0,1.2149831037661636
bill_files\filtered\HB0368_1998,0.3020379122339838,0,1.2377782027375903
bill_files\filtered\HB0365_1998,0.4281674591505736,0,1.188665729481148
bill_files\filtered\HB0365_1997,0.5723580812906365,0,1.170041338053418
bill_files\filtered\HB0363_1999,0.6500819638259837,0,1.2032455327783644
bill_files\filtered\HB0363_1998,0.6142687349439581,0,1.2184350166151199
bill_files\filtered\HB0361_1998,0.25580529018315795,0,1.2074160564814262
bill_files\filtered\HB0354_1999,0.6911992714070523,0,1.2157299541259177
bill_files\filtered\HB0353_1997,0.5415557044381132,0,1.1541440742350546
bill_files\filtered\HB0351_1999,0.4711189685616439,0,1.2011028627065454
bill_files\filtered\HB0349_1997,0.6828418240808153,0,1.2089402613648395
bill_files\filtered\HB0345_1999,0.46377229556549504,0,1.2236591331896387
bill_files\filtered\HB0343_1999,0.26693832836582176,0,1.2220352801928949
bill_files\filtered\HB0341_1999,0.5102599431219851,0,1.222256763084803
bill_files\filtered\HB0340_1999,0.7094614171631544,0,1.2301271009460562
bill_files\filtered\HB0373_1998,0.3321050472113591,0,1.222042331211822
bill_files\filtered\HB0340_1997,0.4822590249560891,0,1.2068653015718578
bill_files\filtered\HB0377_1997,0.46925486904574143,0,1.202491195509849
bill_files\filtered\HB0378_1999,0.2998102083327457,0,1.1789241390414125
bill_files\filtered\HB0397_1998,0.7177221651510866,0,1.2065759391092208
bill_files\filtered\HB0395_1997,0.2754999500818154,0,1.171287960822517
bill_files\filtered\HB0394_1999,0.7182180776507051,0,1.2067515452210316
bill_files\filtered\HB0394_1997,0.8278598965808555,0,1.1855552463810382
bill_files\filtered\HB0391_1999,0.7486989006483915,0,1.1932575295640566
bill_files\filtered\HB0391_1998,0.24909690805471577,0,1.228538917284458
bill_files\filtered\HB0389_1999,0.6619778667327184,0,1.2020953490897475
bill_files\filtered\HB0389_1998,0.6039562211821962,0,1.211976946551679
bill_files\filtered\HB0388_1999,0.28216664858945645,0,1.1609073628899698
bill_files\filtered\HB0387_1998,0.3572758222018495,0,1.2074719077196678
bill_files\filtered\HB0386_1999,0.6737741578861569,0,1.2161329413365591
bill_files\filtered\HB0385_1999,0.2682918496411447,0,1.2204550741859688
bill_files\filtered\HB0384_1998,0.5045974361500304,0,1.176102451336189
bill_files\filtered\HB0384_1997,0.42933475491995404,0,1.2260289202953292
bill_files\filtered\HB0382_1998,0.3256381101661333,0,1.201214947680874
bill_files\filtered\HB0381_1998,0.5091685117679802,0,1.2151465374802055
bill_files\filtered\HB0379_1998,0.5832885245276863,0,1.1806438129322485
bill_files\filtered\HB0377_1999,0.28805225076970703,0,1.1652236471925583
bill_files\filtered\HB0335_1997,0.5540362472914692,0,1.204573677122827
bill_files\filtered\HB0334_1997,0.7077046019256372,0,1.207767039327832
bill_files\filtered\HB0333_1997,0.6637055495871457,0,1.204908265815987
bill_files\filtered\HB0160_2002,0.4320263478497133,0,1.2234643214853795
bill_files\filtered\HB0159_2002,0.7098788200445028,0,1.2169350746153609
bill_files\filtered\HB0156_2004,0.8229422532570998,0,1.0507864949994108
bill_files\filtered\HB0155_1998,0.2744635263166281,0,1.2236701446978229
bill_files\filtered\HB0143_1998,0.771146306218971,0,1.216128096986961
bill_files\filtered\HB0142_1999,0.5496928045836454,0,1.2023048461975194
bill_files\filtered\HB0142_1998,0.7391129748050991,0,1.2267076623912267
bill_files\filtered\HB0136_1999,0.5616077093247419,0,1.1564934325301264
bill_files\filtered\HB0134_1999,0.5782195110791268,0,1.2163852513928137
bill_files\filtered\HB0128_1997,0.6301259169532882,0,1.2094981129778892
bill_files\filtered\HB0126_1999,0.36082526341220644,0,1.2130452976270865
bill_files\filtered\HB0123_1999,0.4602504501667247,0,1.2110491689813048
bill_files\filtered\HB0121_1999,0.33521543321631164,0,1.206928486401065
bill_files\filtered\HB0120_1997,0.6021619681987829,0,1.2167500747210584
bill_files\filtered\HB0116_1997,0.6830048300430454,0,1.235563092353448
