,X,cluster,y
bill_files\filtered\HB0147_2002,0.4783598094617286,0,1.140306283395118
bill_files\filtered\HB0142_2002,0.6281945434181493,0,1.0743044008165152
bill_files\filtered\HB0422_2014,0.8136565504416636,0,1.0723520045192025
bill_files\filtered\SB0138_2013,0.3777405754243506,0,1.1342545405843467
bill_files\filtered\HB0108_1998,0.476782477413755,0,1.1426588412722603
bill_files\filtered\HB0109_1998,0.4235761180458591,0,1.1479350853423391
bill_files\filtered\HB0109_2002,0.5976222177308139,0,1.0941311061968941
bill_files\filtered\HB0023_1999,0.4481950143311727,0,1.1429290532234624
bill_files\filtered\HB0111_1998,0.7308969284208053,0,1.0974867741155716
bill_files\filtered\HB0260_2006,0.3588973922848258,0,1.1348653984002819
bill_files\filtered\HB0208_1997,0.6390678850553567,0,1.0967447812488278
bill_files\filtered\SB0164_2016,0.7121905533547593,0,1.0835585659909617
bill_files\filtered\HB0036_2006,0.6181641033726456,0,1.1400283822938935
bill_files\filtered\HB0290_1999,0.549874974739312,0,1.1263450787375175
bill_files\filtered\HB0187_1997,0.7502238426880465,0,1.0761342986902296
bill_files\filtered\HB0243_1999,0.6039219436758286,0,1.1254423597721996
bill_files\filtered\HB0154_2006,0.3959192057975361,0,1.124232378055522
bill_files\filtered\HB0388_1997,0.4384573551110661,0,1.1468770607881211
bill_files\filtered\HB0296_2006,0.3622712250615578,0,1.1359684540434298
bill_files\filtered\HB0169_1997,0.7668379191174586,0,1.1427888090570626
bill_files\filtered\HB0448_2009,0.5658101204171164,0,1.189975416743651
bill_files\filtered\HB0129_2013,0.5034122079365607,0,1.1042482431626044
bill_files\filtered\SB0209_2017,0.27377198282142184,0,1.1206527925263887
bill_files\filtered\HB0341_2015,0.3995133828572618,0,1.087001971973452
bill_files\filtered\HB0322_1998,0.3736322985966109,0,1.113316341587068
bill_files\filtered\HB0021_1999,0.8659419765054859,0,1.0419205943701446
bill_files\filtered\HJR007_2016,0.5153407544613373,0,1.1352987809179953
bill_files\filtered\HB0094_2004,0.37191289401524036,0,1.1320997922885996
bill_files\filtered\HB0195_2013,0.48795015165499855,0,1.1566428590325013
bill_files\filtered\HB0231_2004,0.5930956683039643,0,1.0515559426002279
bill_files\filtered\HB0027_2002,0.630827858143843,0,1.1338990615856988
bill_files\filtered\HJR011_2014,0.4766961312147419,0,1.1391935085288778
bill_files\filtered\HB0311_2014,0.2978791113603236,0,1.1246336262223806
bill_files\filtered\HB0312_2015,0.4103600011810594,0,1.0874714968904198
bill_files\filtered\HB0357_2014,0.29479189485782303,0,1.1272523403136956
bill_files\filtered\SB0046_1999,0.7946110212163998,0,1.0662554346095756
bill_files\filtered\HB0164_2017,0.706664509658547,0,1.1304914216466042
bill_files\filtered\HB0100_1998,0.4368246948933307,0,1.1458925543077056
bill_files\filtered\SB0061_2006,1.2117036325695072,1,0.7311336287168632
bill_files\filtered\HB0177_2014,1.1273177648720853,1,0.7199727800055162
bill_files\filtered\SB0092_1999,1.2469256554957144,1,0.818616109103542
bill_files\filtered\HB0170_2017,1.2549604588761956,1,0.5733059015116138
bill_files\filtered\HB0049_1997,1.2366691866857593,1,0.7022244805124573
bill_files\filtered\HB0292_2009,1.2347652126697979,1,0.8959539499572156
bill_files\filtered\SB0016_2006,1.2524298034222885,1,0.5727313089250912
bill_files\filtered\HB0173_2002,1.0649807731800063,1,0.7474363316315876
bill_files\filtered\HB0031_2015,1.2279464686965516,1,0.782507022758568
bill_files\filtered\HB0172_2004,1.222185461250355,1,0.7646651505012244
bill_files\filtered\SB0053_2017,1.2351367110719065,1,0.7092883569582018
bill_files\filtered\HB0323_2004,1.2177259445744855,1,0.6793892754140659
bill_files\filtered\HB0414_2009,1.2512869888855334,1,0.7493674368482035
bill_files\filtered\HB0332_2013,1.2577381803130236,1,0.7738454964584223
bill_files\filtered\HB0386_2017,1.1878740522250217,1,0.6738128701393764
bill_files\filtered\HB0287_2014,1.2527275860995375,1,0.673182360355791
bill_files\filtered\HB0247_2014,1.238514660995638,1,0.7117500372853807
bill_files\filtered\HB0323_1997,1.1724433307951787,1,0.6326739630412875
bill_files\filtered\HB0077_1999,1.2365909563167399,1,0.7036614611284375
bill_files\filtered\HB0414_2014,1.2362270531262098,1,0.6161432390114286
bill_files\filtered\HB0322_2006,1.180606344207915,1,0.7553245543614484
bill_files\filtered\SB0185_2016,1.18626227658897,1,0.8514925193100852
bill_files\filtered\HB0032_2009,1.216358443373474,1,0.825885427463117
bill_files\filtered\HB0047_2009,1.2256246398534616,1,0.647195236563652
bill_files\filtered\HB0331_2013,1.2562801248560584,1,0.5718661100733423
bill_files\filtered\HB0421_1998,1.2055189291224424,1,0.7886483109804456
bill_files\filtered\HB0401_2013,1.2626859853509005,1,0.794948421786249
bill_files\filtered\HB0070_2006,1.2265360192033736,1,0.7712639538299264
bill_files\filtered\HB0262_1997,1.234387806903646,1,0.816555627740956
bill_files\filtered\SB0128_1999,1.24431432827168,1,0.6177060322798864
bill_files\filtered\SB0109_2007,1.2557837194345605,1,0.8985070704933399
bill_files\filtered\HB0424_2009,1.2621407242471419,1,0.9802155608144115
bill_files\filtered\SB0104_2017,1.2299398505664896,1,0.6583696858946302
bill_files\filtered\HB0227_1997,1.2375548380003707,1,0.7659053920711147
bill_files\filtered\SB0140_2006,1.2502630909807235,1,0.781606456695753
bill_files\filtered\SB0143_2007,1.2802520811259592,1,0.9188768703085832
bill_files\filtered\HB0336_2004,1.2347742402403832,1,0.7536573625361132
bill_files\filtered\SB0099_2017,1.2624886897060796,1,0.6814488771348381
bill_files\filtered\HB0078_1997,1.1434805155161185,1,0.6133272650042585
bill_files\filtered\SB0049_2016,1.2541858655100897,1,0.7863106846546141
bill_files\filtered\HB0019_2009,1.239790388939968,1,0.6185522192345729
bill_files\filtered\HB0011_2012,1.258785171381027,1,0.7671667356783941
bill_files\filtered\SB0145_2013,1.228990974038682,1,0.7069852844356113
bill_files\filtered\HB0225_1998,1.2128860535140098,1,0.8354619171196855
bill_files\filtered\SB0148_2006,1.2398786075245054,1,0.6798975323090355
bill_files\filtered\HB0259_2012,1.1912786122490517,1,0.7025525249315651
bill_files\filtered\HB0403_2016,1.230098536422123,1,0.7912250801823141
bill_files\filtered\SB0155_1997,1.2073979411218683,1,0.6639540346666163
bill_files\filtered\HB0067_1998,1.239878389177606,1,0.5059719143334578
bill_files\filtered\SB0113_2007,1.2637903421538241,1,0.7055709948104295
bill_files\filtered\SB0013_2001,1.2140297268978046,1,0.7588230826317397
bill_files\filtered\HB0096_2004,1.2470474402474823,1,0.798531089352865
bill_files\filtered\HB0370_2009,1.1656837129284605,1,0.8787046307197333
bill_files\filtered\HB0307_2006,1.2284101022106388,1,0.656992527838955
bill_files\filtered\SB0224_2007,1.1724636422158141,1,0.691750963315269
bill_files\filtered\HB0044_2007,1.2519934335062186,1,0.6825250917433185
bill_files\filtered\HB0205_2004,1.2108757051255363,1,0.8539751368914473
bill_files\filtered\SB0225_2016,1.232141824594285,1,0.6852030293237527
bill_files\filtered\SB0257_2017,1.176030727260498,1,0.6586681901305677
bill_files\filtered\HB0239_2013,1.2664083207192274,1,0.8948904388389594
bill_files\filtered\HB0108_2013,1.2121471185089447,1,0.6446323165270287
bill_files\filtered\HB0204_2012,1.2539601272071283,1,0.6691011831225725
bill_files\filtered\SB0225_2017,1.2375914442759466,1,0.84135172311614
bill_files\filtered\HB0239_2009,1.2756825675463028,1,0.8551672056881343
bill_files\filtered\HB0450_2009,1.2084949407540013,1,0.756986137355665
bill_files\filtered\HB0107_1997,1.225957922342918,1,0.7463839417877295
bill_files\filtered\HB0074_2016,1.1991577108912863,1,0.7623883488347574
bill_files\filtered\HB0053_1999,1.2301429407204396,1,0.6163032335645271
bill_files\filtered\HB0192_2009,1.274845265516674,1,0.72238823532591
bill_files\filtered\HB0107_2002,1.238290678862148,1,0.7181993787252479
bill_files\filtered\HB0117_2014,1.1527036086879374,1,0.5405205217283188
bill_files\filtered\HB0119_1997,1.2167826563963606,1,0.8412786763084217
bill_files\filtered\HB0124_2004,1.2403942285146183,1,0.5994432252337188
bill_files\filtered\HB0124_2002,1.1483136877865332,1,0.8411829708049956
bill_files\filtered\SB0011_2014,1.2211251706201802,1,0.7782950309185217
bill_files\filtered\HB0351_2016,1.002934259847973,1,0.7589567641638146
bill_files\filtered\SB0011_2012,1.198158667815116,1,0.795415401344604
bill_files\filtered\HB0351_2009,1.2288444110381436,1,0.7370058748631692
bill_files\filtered\HB0042_2004,1.258310932688062,1,0.7235691864162559
bill_files\filtered\HB0164_2006,1.2444357852849546,1,0.8392616834839245
bill_files\filtered\HB0161_1999,1.2443876591992205,1,0.7779155009004299
bill_files\filtered\SB0219_2016,1.247583498778077,1,0.7825976323949358
bill_files\filtered\HB0080_2002,1.2226794957617078,1,0.8404280786417856
bill_files\filtered\HB0374_1998,1.2372320243284842,1,0.8223548281690254
bill_files\filtered\HB0510_2012,1.2326016670336766,1,0.7679596261886091
bill_files\filtered\HJR020_2015,1.2368554464609327,1,0.6826969677678926
bill_files\filtered\SB0212_1999,1.2450826134557624,1,0.7912996050200903
bill_files\filtered\HB0417_2006,1.2063844829628978,2,1.0554940286762589
bill_files\filtered\SB0012_2015,1.2461370985816669,2,1.0868526671944927
bill_files\filtered\HB0081_2013,1.2036835110846915,2,1.1341123908182207
bill_files\filtered\HB0159_2014,1.2497971121118767,2,1.1424733034272916
bill_files\filtered\HB0060_2004,1.2203234350692171,2,1.0492676970974495
bill_files\filtered\HB0364_1999,1.1838127879089326,2,1.0208879119609133
bill_files\filtered\SB0098_1999,1.2047893182511424,2,1.0031871294719101
bill_files\filtered\HB0371_2016,1.239085922179685,2,1.1094294660288841
bill_files\filtered\HB0497_2012,1.2044673625499869,2,0.9999566346025046
bill_files\filtered\HB0281_2012,1.2425066736772394,2,1.1063081466112217
bill_files\filtered\SB0124_2017,1.2501155378562234,2,1.1097068362590479
bill_files\filtered\SB0091_2017,1.2134292441391625,2,1.0895377376120743
bill_files\filtered\SB0123_2017,1.1743076330367939,2,1.1365957039129613
bill_files\filtered\SB0123_2016,1.1980010341974061,2,1.1299883627920024
bill_files\filtered\HB0184_1997,1.200644554742513,2,1.130629123999522
bill_files\filtered\HB0142_2009,1.2201339349667102,2,1.0703462385831601
bill_files\filtered\HB0036_2002,1.2006628613384147,2,1.1239085348669435
bill_files\filtered\HB0225_2012,1.2611386970072778,2,1.122775906071612
bill_files\filtered\HB0267_2014,1.220165679981843,2,1.095364793786246
bill_files\filtered\HB0139_2015,1.2213535150230386,2,1.1532608790985666
bill_files\filtered\HB0346_1998,1.2321036349259733,2,1.115266312698307
bill_files\filtered\SB0194_1999,1.2191519590858455,2,1.1204357311266027
bill_files\filtered\HB0124_1997,1.231862084968027,2,1.1477140919242321
bill_files\filtered\HB0358_2017,1.217630849929429,2,1.0822961201083898
bill_files\filtered\HB0165_2013,1.2431064707164032,2,1.0997926852326823
bill_files\filtered\HB0169_1998,1.1560919797684222,2,0.9487605989391836
bill_files\filtered\HB0129_2017,1.2315634202785357,2,1.0412724331119707
bill_files\filtered\HB0120_1998,1.197974799919467,2,1.0859889720566613
bill_files\filtered\SB0074_1999,1.239515433184288,2,1.1144844621421583
bill_files\filtered\HB0185_2017,1.2531695940104612,2,1.1180019879904737
bill_files\filtered\SB0173_2006,1.2303310746790594,2,1.0793077742792112
bill_files\filtered\SB0266_2017,1.177342701231459,2,1.1024866832080202
bill_files\filtered\HB0289_2009,1.1570721496385594,2,1.0326614564038499
bill_files\filtered\SB0085_2017,1.2300155192030167,2,1.1546433765913895
bill_files\filtered\SB0167_1999,1.2609621809314517,2,1.1399975491310403
bill_files\filtered\HB0113_1997,1.193555054296125,2,1.1065275399418
bill_files\filtered\HB0025_2006,1.214129611945891,2,0.995170817941443
bill_files\filtered\HB0025_2002,1.2015173509371186,2,1.0030283518461558
bill_files\filtered\HB0047_2012,1.2318725378918878,2,1.1108408357473973
bill_files\filtered\HB0145_2015,1.222976598748482,2,1.0774784200466043
bill_files\filtered\SB0086_2006,1.2435563691789204,2,1.03881560317915
bill_files\filtered\SB0053_2006,1.1898710618794266,2,1.08961443962548
bill_files\filtered\HB0263_2006,1.2587359205606161,2,1.1325742684844595
bill_files\filtered\HB0254_2006,1.2376767606481978,2,1.116027234256714
bill_files\filtered\HB0191_2015,1.2013968271894437,2,0.995383825887279
bill_files\filtered\HB0052_1999,1.1116577065730708,3,1.1511067622880182
bill_files\filtered\SB0057_2006,0.9749498432633006,3,1.1408834639815888
bill_files\filtered\SB0056_2013,1.1099369070427674,3,1.0630255830339859
bill_files\filtered\SB0056_1999,1.2277817642926343,3,1.0748759116841153
bill_files\filtered\HB0419_2006,1.262813815582481,3,1.1850867635364706
bill_files\filtered\HB0034_1997,1.250379623901591,3,1.1334343346784088
bill_files\filtered\HB0081_2016,1.2051757011955648,3,1.161792946576578
bill_files\filtered\SB0047_1999,1.2093830994587857,3,1.1547197606695265
bill_files\filtered\HB0086_1998,1.256455216076884,3,1.133880815012954
bill_files\filtered\HB0148_2015,1.2026913392908611,3,1.1566741518795582
bill_files\filtered\HB0313_2012,1.176626976635609,3,1.07911363856832
bill_files\filtered\SB0060_2013,1.160392178267163,3,1.1418892723858747
bill_files\filtered\HB0165_2009,1.2228860552333554,3,1.0671074334111166
bill_files\filtered\HB0079_2016,1.2714056873370012,3,1.0114156788757958
bill_files\filtered\SB0046_2007,1.1656719355239888,3,1.1692019793782136
bill_files\filtered\HB0153_2002,1.1828668480924935,3,1.0917396198218454
bill_files\filtered\HB0152_1997,1.2313943008510093,3,1.1019618598058278
bill_files\filtered\HB0306_1999,1.1756890403221105,3,1.1022973913176353
bill_files\filtered\HB0024_2008,1.1764924707893043,3,1.1489236221240327
bill_files\filtered\HB0154_2017,1.2131434544144548,3,1.1330092559439966
bill_files\filtered\HB0437_2012,1.2058361992802948,3,1.1680655129351576
bill_files\filtered\HB0055_2012,1.2038689764467125,3,1.12694799493249
bill_files\filtered\HB0031_2017,1.2194839162783446,3,1.1365907586493609
bill_files\filtered\HB0175_2015,1.195932180776343,3,1.08465061140244
bill_files\filtered\HB0176_2009,1.277114691379189,3,1.1756590180721758
bill_files\filtered\HB0176_2014,1.2784797968030424,3,1.1590478002514046
bill_files\filtered\HB0084_1999,1.2109407998987245,3,1.061401812018787
bill_files\filtered\HB0157_2006,1.1829891367775331,3,1.1551018877149737
bill_files\filtered\HB0287_1997,1.2415401590462192,3,1.1622403938874495
bill_files\filtered\HJR009_2014,1.1950979625519516,3,1.100341765767984
bill_files\filtered\SB0028_2017,1.1644813927410151,3,1.1216448419875102
bill_files\filtered\HB0323_2016,1.214561357563201,3,1.0057373394576707
bill_files\filtered\HB0432_1998,1.256385454677901,3,1.1334726960351245
bill_files\filtered\SB0031_2001,1.2154299427145798,3,1.174997142120935
bill_files\filtered\HB0308_2017,1.192373025944425,3,1.13357546018998
bill_files\filtered\HB0159_1999,1.2247559701450985,3,1.1627344193910518
bill_files\filtered\HB0025_2012,1.2047020862618993,3,1.1286128602039973
bill_files\filtered\HB0331_2004,1.252121640144579,3,1.132989575820341
bill_files\filtered\HB0281_2013,1.2372193523172783,3,1.1131019041774102
bill_files\filtered\HB0424_2016,1.2533035819663148,3,1.0947170297123334
bill_files\filtered\HB0279_2006,1.255570842800321,3,1.1205528743657245
bill_files\filtered\HB0512_2012,1.1932245431673687,3,1.1425654253331858
bill_files\filtered\HB0276_2006,1.1242768077694294,3,1.137597605873863
bill_files\filtered\HB0215_2002,1.2200610376146739,3,1.142372769115237
bill_files\filtered\HB0028_2015,1.2228369377989008,3,1.1629470833496016
bill_files\filtered\HB0224_1998,1.2413542500553314,3,1.1629758551897307
bill_files\filtered\HB0295_2016,1.1600961941922157,3,1.1754182247436629
bill_files\filtered\HB0216_1997,1.2480958334533885,3,1.135359882321395
bill_files\filtered\HB0119_1998,1.1887725302469916,3,1.0585023684546782
bill_files\filtered\SB0126_2016,1.171176185408806,3,1.1025088865241524
