,X,cluster,y
bill_files\filtered\HB0387_2009,0.6766778100756482,0,1.2810269143395066
bill_files\filtered\HB0248_2009,0.5137036017550252,0,1.2855206932349632
bill_files\filtered\HB0050_1997,0.5681285235259635,0,1.2565587495244985
bill_files\filtered\HB0158_2009,0.7437146670437182,0,1.2799615471775565
bill_files\filtered\HB0382_2009,0.9306179982022583,0,1.2672024256008634
bill_files\filtered\HB0063_2015,0.4734133572893722,0,1.2823009811018637
bill_files\filtered\HB0095_2009,0.5033266996826056,0,1.2850933249863488
bill_files\filtered\HB0194_2002,0.5171471191653724,0,1.2609559662638834
bill_files\filtered\HB0111_2006,0.43785876649408945,0,1.2689551054604162
bill_files\filtered\SB0159_2017,0.6395048822472462,0,1.2794583223625633
bill_files\filtered\HB0281_2009,0.48481739589700057,0,1.2640384946683485
bill_files\filtered\HB0176_2004,0.5260562178616199,0,1.2676551157848304
bill_files\filtered\HB0079_2015,0.4894784798923969,0,1.2597172985303025
bill_files\filtered\HB0103_2013,0.4306991321339361,0,1.2744996547613416
bill_files\filtered\HB0048_1998,0.5401681586069745,0,1.2446264667697422
bill_files\filtered\HB0067_2002,0.5035756336312379,0,1.2584703356407256
bill_files\filtered\HB0284_2009,0.6292611936042026,0,1.2841945225290197
bill_files\filtered\HB0092_2002,0.5631881541365122,0,1.2551960721560118
bill_files\filtered\HB0258_2004,0.5166678728637096,0,1.2518480756197679
bill_files\filtered\HB0029_2002,0.5697551937343464,0,1.2475166690574293
bill_files\filtered\HB0234_2006,0.38903400644623615,0,1.2582469408021726
bill_files\filtered\HB0290_2009,0.483886415807592,0,1.2861726490881593
bill_files\filtered\HB0367_2012,1.2743672257769956,1,0.5558007490689626
bill_files\filtered\HB0030_1998,1.2041986204959003,1,0.5704015294363696
bill_files\filtered\HB0301_2016,1.2581854419737755,1,0.7299469753090204
bill_files\filtered\SB0104_1997,1.267737153036413,1,0.5100877569728044
bill_files\filtered\HB0393_1998,1.2796374047171064,1,0.49950798573562355
bill_files\filtered\HB0078_2004,1.2689785022150064,1,0.40131856849690967
bill_files\filtered\SB0042_2013,1.2742916614177209,1,0.5593248117682627
bill_files\filtered\HB0232_1999,1.2612319316158072,1,0.416703037579641
bill_files\filtered\SB0109_2016,1.2799369931172415,1,0.5123525266472673
bill_files\filtered\HB0143_2006,1.261566545054983,1,0.5606471583022935
bill_files\filtered\HB0197_1997,1.2501983999551884,1,0.6458253663530464
bill_files\filtered\HB0054_2006,1.150120852092728,2,1.1964299819734407
bill_files\filtered\HB0084_2015,1.0874066700591667,2,1.2744949262109795
bill_files\filtered\SB0089_2006,1.1207913719497546,2,1.173769605558381
bill_files\filtered\HB0384_2012,1.139476655371291,2,1.224944842722893
bill_files\filtered\SB0022_2007,1.1490853677270918,2,1.2067903997706073
bill_files\filtered\HB0036_2012,1.1503911629619945,2,1.2109907488466267
bill_files\filtered\HB0026_2007,1.2406826561257756,2,1.2469480585790456
bill_files\filtered\HB0365_2012,1.1470804683809053,2,1.2178674558105118
bill_files\filtered\HB0071_2013,1.0525362094829476,2,1.2178163722588913
bill_files\filtered\SB0241_2006,1.1696700560016864,2,1.1898456402490332
bill_files\filtered\SB0035_2013,1.25782619664762,2,1.2663402195979248
bill_files\filtered\SB0031_2006,1.1618887911747864,2,1.20290188414539
bill_files\filtered\SB0030_2006,1.1534554615590422,2,1.1967675175176706
bill_files\filtered\SB0124_2013,1.1352367892147683,2,1.2240490028324897
bill_files\filtered\SB0096_2007,1.1487504232752281,2,1.2219651122839734
bill_files\filtered\HB0051_2006,1.1497535140452537,2,1.1870584739218581
bill_files\filtered\SB0029_2006,1.1386997364656142,2,1.2098304471885746
bill_files\filtered\HB0038_2004,1.1494100772430977,2,1.0881248635424694
bill_files\filtered\HB0432_2006,0.8887632293655532,2,1.262689292685676
bill_files\filtered\HB0273_2006,1.1517190899205219,2,1.1926960001834712
bill_files\filtered\SB0132_2006,0.9280103539611408,2,1.2494946581159685
bill_files\filtered\HB0041_2012,1.2520742837557413,2,1.2655356608652717
bill_files\filtered\HB0387_2012,1.2457583264310887,2,1.2724934407459598
bill_files\filtered\HB0058_2009,1.1649622763046938,2,1.268632142147221
bill_files\filtered\HB0338_2006,1.2523963734281316,2,1.2608803754452367
bill_files\filtered\SB0094_2007,1.2896377535818127,3,1.1874129179686483
bill_files\filtered\HB0024_1999,1.2795902040859775,3,1.2225161348201712
bill_files\filtered\HB0147_2009,1.2664432001481614,3,1.165685765487172
bill_files\filtered\SB0051_2007,1.2771395572173683,3,1.190842583778861
bill_files\filtered\HB0250_2006,1.2314517182761247,3,1.2114100957637435
bill_files\filtered\HB0249_2012,1.2706403531357662,3,1.2313826984422116
bill_files\filtered\HB0168_2009,1.2915229768685887,3,1.2889113895582534
bill_files\filtered\HB0383_2006,1.1948065597724558,3,1.2305074796768753
bill_files\filtered\HB0141_2009,1.2391164927729328,3,1.27118112716334
bill_files\filtered\HB0134_2004,1.1891933557751893,3,1.245826216976518
bill_files\filtered\HB0165_2002,1.260918067181794,3,1.2024364680316368
bill_files\filtered\HB0304_2013,1.3332874163903958,3,1.2750215280548374
bill_files\filtered\HB0132_2006,1.2661978809294003,3,1.2577733225425909
bill_files\filtered\HB0018_1999,1.2440675841499196,3,1.1860364692226188
bill_files\filtered\HB0247_1997,1.2887186827014807,3,1.2300595700973478
bill_files\filtered\SB0036_2017,1.2040492042443793,3,1.1525867559698377
bill_files\filtered\SB0179_2007,1.230426943242959,3,1.2373720737446494
bill_files\filtered\HB0431_2016,1.219069905518169,3,1.20954425206216
bill_files\filtered\HB0114_1997,1.2201479487568128,3,1.2411812767479644
bill_files\filtered\SB0222_2017,1.2860967326300903,3,1.194806378069271
bill_files\filtered\HB0207_2006,1.2428707822915548,3,1.2523100150283055
bill_files\filtered\HB0453_2017,1.289049707986939,3,1.2462051854043734
bill_files\filtered\HB0216_2002,1.2500918408925004,3,1.2039564654439838
bill_files\filtered\HB0278_2009,1.2592212007990364,3,1.1690262814285444
bill_files\filtered\HB0060_2016,1.2731103927270924,3,1.2176049919194412
bill_files\filtered\HB0408_1998,1.2417093095561942,4,1.1707724549124905
bill_files\filtered\HJR004_2017,1.2900377491884456,4,1.1722297425692754
bill_files\filtered\HB0164_2014,1.3058081719603727,4,1.2198013135840033
bill_files\filtered\HB0131_2013,1.2673280075118118,4,1.1127282362918152
bill_files\filtered\HJR007_2015,1.3091570639699528,4,1.2270327650550497
bill_files\filtered\HJR009_2013,1.2319746309713913,4,1.2088604304669486
bill_files\filtered\HB0132_2015,1.3085041921636822,4,1.2157645553278902
bill_files\filtered\HJR021_2014,1.3184453205351032,4,1.135855367567364
bill_files\filtered\HB0113_2002,1.2588903814067631,4,1.219551591196873
bill_files\filtered\HB0412_2014,1.2448320542034763,4,1.1571714708817948
bill_files\filtered\HB0104_2002,1.2637551996797536,4,1.1308418372425455
bill_files\filtered\HJR015_2013,1.2400157071005984,4,1.2124920173833769
bill_files\filtered\HJR014_2012,1.3044852486435523,4,1.2184505072243192
bill_files\filtered\HB0155_2013,1.212492477758853,4,1.23013225069571
bill_files\filtered\HJR013_2015,1.2797695788629389,4,1.1980723733097498
bill_files\filtered\HJR012_2016,1.3095226159402082,4,1.220642891827404
bill_files\filtered\HB0408_2009,1.2564835018226408,4,1.1673765200933133
bill_files\filtered\HJR017_2017,1.2382781940670164,4,1.1683893286750664
bill_files\filtered\HJR011_2017,1.163831848898272,4,1.2172868062779156
bill_files\filtered\HB0207_2017,1.266794125282526,4,1.1429242034986897
bill_files\filtered\HB0079_2002,1.246664333583731,4,0.7762460185458804
bill_files\filtered\HJR002_2015,1.3049704397944024,4,1.2242441966356505
