,X,cluster,y
bill_files\filtered\SB0092_1997,0.4501099690395021,0,1.2688465122365038
bill_files\filtered\HB0245_2009,0.8327107990835922,0,1.2512479186884895
bill_files\filtered\SB0013_1997,0.4306308042565546,0,1.2617406397643116
bill_files\filtered\HB0367_1997,0.6052631266601691,0,1.260786926041656
bill_files\filtered\HB0140_2002,0.39590209018813305,0,1.250475199043072
bill_files\filtered\HB0104_2013,0.5354895107742391,0,1.2470616368669858
bill_files\filtered\HB0037_1998,0.6046105976287101,0,1.2576732655068734
bill_files\filtered\HB0331_1998,0.419972142999797,0,1.2719724531183887
bill_files\filtered\HB0115_1998,0.5232855848878204,0,1.238321754650639
bill_files\filtered\HB0059_2002,0.5627598977648656,0,1.270695086708426
bill_files\filtered\SB0130_2017,0.39533013883028195,0,1.258106364514363
bill_files\filtered\SB0156_2007,0.5817410402019951,0,1.2358449614538816
bill_files\filtered\SB0198_2017,0.7372976705597551,0,1.2362672163219313
bill_files\filtered\HB0059_2017,0.41635638392995195,0,1.2592541473121865
bill_files\filtered\HB0476_2012,0.5519524188832668,0,1.2680322029199396
bill_files\filtered\SB0193_2016,0.611656677205787,0,1.2536067100378046
bill_files\filtered\HB0190_2017,0.7231971976627,0,1.2433251461294932
bill_files\filtered\HB0343_2015,0.7085626944474864,0,1.2183048223050574
bill_files\filtered\HB0155_2014,0.7051768278024985,0,1.2136841766288433
bill_files\filtered\HB0373_1999,0.4228335761834884,0,1.2781055565428865
bill_files\filtered\HB0135_1999,0.3780834732980475,0,1.267831074597492
bill_files\filtered\HB0263_1998,0.5698197768048903,0,1.259257783901838
bill_files\filtered\HB0071_1997,0.4177682007498665,0,1.265582928328215
bill_files\filtered\HB0216_2009,0.4891790738033985,0,1.2817670877636487
bill_files\filtered\HB0085_2006,1.2880035242487826,1,0.7428653086051596
bill_files\filtered\HB0085_1999,1.2638261855202289,1,0.4030698673340897
bill_files\filtered\HB0298_2006,1.2635721543805531,1,0.6712363707888097
bill_files\filtered\HB0299_2006,1.2723367413939874,1,0.511279101819382
bill_files\filtered\HB0243_1998,1.265203444586328,1,0.5438563700838464
bill_files\filtered\HB0055_2002,1.2487006124892388,1,0.6739252556057981
bill_files\filtered\HB0239_2017,1.2377949615207384,1,0.3264350570934139
bill_files\filtered\HB0291_1998,1.2841166753211364,1,0.7318318089995548
bill_files\filtered\HB0011_1998,1.2541814339146353,1,0.44328030468616164
bill_files\filtered\HB0035_1998,1.2676199086736895,1,0.5129021144881895
bill_files\filtered\HB0390_1998,1.3041761315932061,1,0.6340437325196512
bill_files\filtered\HB0289_2004,1.2628857139431013,1,0.6931175535916222
bill_files\filtered\HB0090_2004,1.2635830201005251,1,0.38476540892948063
bill_files\filtered\HB0462_1998,1.2602456303368148,1,0.3620667568616943
bill_files\filtered\HB0393_2012,1.2398170126663943,1,0.4050611524251072
bill_files\filtered\HB0105_2014,1.2596772204658422,1,0.8300933174686069
bill_files\filtered\HB0105_2013,1.2713444574303885,1,0.6727754757288861
bill_files\filtered\HB0147_1998,1.2750081224923264,1,0.6774887957383589
bill_files\filtered\HB0284_2015,1.254023102473704,1,0.6612276727353843
bill_files\filtered\HB0093_2004,1.1967546407121443,1,0.7886325131013058
bill_files\filtered\HB0053_2014,1.2504277287020493,1,0.6151625828601148
bill_files\filtered\HB0377_1998,1.2736730786898585,1,0.3792366621732283
bill_files\filtered\HB0216_2016,1.2510374545641985,1,0.841744751113272
bill_files\filtered\HB0374_1999,1.25836270253397,1,0.3839670131953576
bill_files\filtered\HB0066_2002,1.2508271930043326,1,0.33866732647850134
bill_files\filtered\HB0185_2014,1.268943412750467,1,0.459256084734462
bill_files\filtered\HB0220_2006,1.264993844314257,1,0.43512949830647674
bill_files\filtered\HB0223_2011,1.2582357864809932,1,0.7442004982973447
bill_files\filtered\HB0063_2009,1.2531317920229146,1,0.5338126982462723
bill_files\filtered\HB0117_2013,1.3081672572136978,1,0.5769622412571669
bill_files\filtered\HB0069_2009,1.2500491872679713,1,0.6788839878259479
bill_files\filtered\HB0219_2006,1.268948217971102,1,0.4229635993190677
bill_files\filtered\HB0132_2014,1.2810366890189693,1,0.47379374910363986
bill_files\filtered\HB0357_2012,1.2581250015401795,1,0.6895976693531142
bill_files\filtered\HB0022_2009,1.2767481916565624,1,0.40922208936154286
bill_files\filtered\HB0358_2006,1.2650360050242209,1,0.6048893517131797
bill_files\filtered\HB0072_2004,1.2789782244610544,1,0.5253184354982354
bill_files\filtered\SB0052_2007,1.1790310926486112,1,0.7626802189216089
bill_files\filtered\HB0129_2009,1.2544793704135138,1,0.6738913429098049
bill_files\filtered\HB0227_2006,1.3054870153199376,1,0.5835670367821076
bill_files\filtered\HB0061_2004,1.2694746676369277,1,0.48175797636978074
bill_files\filtered\HB0140_2004,1.2635156797780744,1,0.5358153553668247
bill_files\filtered\HB0329_1997,1.2796726544240073,1,0.49528332004804554
bill_files\filtered\HB0326_2012,1.2715182041059532,1,0.7412999936624409
bill_files\filtered\HB0174_2006,1.2621564743783726,1,0.5765630038124402
bill_files\filtered\SB0079_2016,1.2698251197944297,1,0.27691613252276004
bill_files\filtered\HB0170_1998,1.2124178141171171,1,0.8292778249261726
bill_files\filtered\SB0089_1997,1.2678482545046958,1,0.32474114668565623
bill_files\filtered\HB0320_1998,1.2621738805789358,1,0.5211085291186979
bill_files\filtered\SB0090_1997,1.2617089620112403,1,0.3585310820509591
bill_files\filtered\HB0394_1998,1.2618633571588134,1,0.2746540529721137
bill_files\filtered\HB0197_2004,1.2657967272479276,1,0.47654706372645134
bill_files\filtered\HB0314_2009,1.20332804275207,1,0.7925159486248704
bill_files\filtered\HB0198_2004,1.2460157528001703,1,0.6809152337011525
bill_files\filtered\HB0030_2006,1.2168994204410977,1,0.5441989105074696
bill_files\filtered\HB0094_1997,1.2686885559522225,1,0.5196627204526294
bill_files\filtered\HB0135_2004,1.2633086114510137,1,0.288686156181199
bill_files\filtered\HB0048_1999,1.282388704850182,1,0.40644096102510474
bill_files\filtered\HB0042_1997,1.25253012274068,1,0.4621101110724978
bill_files\filtered\HB0103_2006,1.2555665820474786,1,0.45061969880563857
bill_files\filtered\HB0406_1997,1.2725181516515764,1,0.5301764382368969
bill_files\filtered\HB0266_2004,1.2533975286545922,1,0.49693531067411806
bill_files\filtered\HB0212_2006,1.1911375809131592,1,0.7476992314050266
bill_files\filtered\HB0099_1999,1.2653351895853304,1,0.3264881110963789
bill_files\filtered\HB0279_1999,1.2710527124335822,1,0.3637951406780018
bill_files\filtered\HB0097_2009,1.2798410687597852,1,0.6072991085602176
bill_files\filtered\HB0209_2002,1.2756449838802946,1,0.7102353439561604
