,X,cluster,y
bill_files\filtered\HB0461_2017,0.5142998291138513,0,1.3107842117640522
bill_files\filtered\HB0013_2015,0.5182174708892985,0,1.171053603748749
bill_files\filtered\SB0149_1999,0.649757705402302,0,1.3203109164674616
bill_files\filtered\HB0026_2013,0.6259413828188546,0,1.2524838847337936
bill_files\filtered\HJR017_2014,0.5803261913916368,0,1.296855629812701
bill_files\filtered\HB0442_2012,0.500616244197058,0,1.3043052489502145
bill_files\filtered\HB0131_1999,0.5778665695449412,0,1.2739659662766798
bill_files\filtered\HB0343_1997,0.6237601385483132,0,1.3401787431025105
bill_files\filtered\HB0223_1998,0.628327906781549,0,1.3391807178605382
bill_files\filtered\HB0221_2009,0.36279885186128935,0,1.2730169031749756
bill_files\filtered\HB0319_2015,0.5078521137398581,0,1.3076509803191365
bill_files\filtered\HB0051_1997,0.8235984081618863,0,1.2557175279093977
bill_files\filtered\HB0050_2014,0.6912615664022845,0,1.238478663429056
bill_files\filtered\SB0218_2016,0.5876678402829405,0,1.2253848071964855
bill_files\filtered\HB0220_2009,0.35336194792267467,0,1.2766355320832774
bill_files\filtered\HB0479_2016,0.5029495881311826,0,1.3097781401234605
bill_files\filtered\HB0246_2012,0.41597867453057746,0,1.3055204090840922
bill_files\filtered\SB0250_1997,0.6719687190382174,0,1.2986893007593283
bill_files\filtered\HB0272_1998,0.6476783434772923,0,1.3263461936993954
bill_files\filtered\HB0153_2006,0.5041443514522745,0,1.2343552366156993
bill_files\filtered\SB0050_2006,0.4269792491884876,0,1.2830522875037682
bill_files\filtered\HB0282_1997,0.46063938361078927,0,1.2206989157830892
bill_files\filtered\HB0142_1997,0.6957656761570228,0,1.216075155633317
bill_files\filtered\HB0010_2012,0.6357824552552097,0,1.301510679004644
bill_files\filtered\HB0442_2006,1.1859297367446922,1,0.80867166184296
bill_files\filtered\HB0276_1999,1.2365830951465022,1,0.2090543074497852
bill_files\filtered\HB0390_2014,1.2470383002015455,1,0.2996929891582795
bill_files\filtered\HB0061_2006,1.1786798072026121,1,0.5987147720751712
bill_files\filtered\HB0004_2007,1.2345600575834996,1,0.240227892353619
bill_files\filtered\HB0108_2012,1.2406212270562185,1,0.53001514133185
