,X,cluster,y
bill_files\filtered\HB0013_2012,0.2306474990091893,0,1.2165301074157406
bill_files\filtered\HB0034_2008,0.178849195463791,0,1.232406855440921
bill_files\filtered\HB0380_2017,0.33047618860530054,0,1.226960250301721
bill_files\filtered\HB0378_2015,0.382964368835464,0,1.2349921637303536
bill_files\filtered\HB0245_2002,0.20329816776886112,0,1.2284381342578234
bill_files\filtered\HB0041_2009,0.17677107724658217,0,1.2287975134840556
bill_files\filtered\HB0362_1998,0.2521505563072577,0,1.2214220054662408
bill_files\filtered\HB0348_1997,0.24769689701550157,0,1.2241353085498337
bill_files\filtered\HB0328_1997,0.5009726943322188,0,1.1880320197328744
bill_files\filtered\HB0410_2006,0.19762796006308736,0,1.2317169695903505
bill_files\filtered\HB0318_2006,0.2106727491782381,0,1.2298710326370392
bill_files\filtered\HB0056_2006,0.2025322572617752,0,1.2099688624793434
bill_files\filtered\HB0213_2014,0.36978207433380067,0,1.2031635336875437
bill_files\filtered\HB0215_2015,0.1729598150951057,0,1.2060692243772422
bill_files\filtered\HB0282_2012,0.37550850552096804,0,1.2017443857838361
bill_files\filtered\HB0222_2017,0.23442404061756608,0,1.2285827514869483
bill_files\filtered\HB0247_2009,0.17552518158380712,0,1.2106157164377787
bill_files\filtered\HB0005_2007,0.2652104629323994,0,1.2233533533182135
bill_files\filtered\HB0225_2009,0.4281177527368524,0,1.186476612451833
bill_files\filtered\HB0311_2016,0.4133885104719826,0,1.2300834662546836
bill_files\filtered\HB0158_2006,0.7055886603503816,0,1.1732827614573114
bill_files\filtered\HB0243_2013,0.3140009620813087,0,1.2308710772942058
bill_files\filtered\HB0136_2009,0.1728649924153386,0,1.2323611539152592
bill_files\filtered\HB0016_2016,0.17583431398299681,0,1.2301683812236863
bill_files\filtered\HB0031_2007,0.8196544019984512,0,1.1914883125708464
bill_files\filtered\HB0017_2012,0.3204252118230684,0,1.1668669398255291
bill_files\filtered\HB0018_2012,0.15264377051253847,0,1.230807564082657
bill_files\filtered\HB0011_2008,0.6600455729901435,0,1.1897708787363834
bill_files\filtered\HB0017_1998,0.6755469666097081,0,1.1974469281147961
bill_files\filtered\HB0029_2009,0.20253317164471454,0,1.2310227483827139
bill_files\filtered\HB0149_2017,0.3507875148994933,0,1.1639120373222764
bill_files\filtered\HB0154_2002,0.6228021104052162,0,1.126692638032685
bill_files\filtered\SB0066_2006,1.3265647172145039,1,0.5747208694183039
bill_files\filtered\HB0249_2015,1.2851563693736718,1,0.7709890895809562
bill_files\filtered\HB0261_2017,1.3358254390879363,1,0.45759526934412315
bill_files\filtered\SB0062_2013,1.330012153053843,1,0.7502043687832163
bill_files\filtered\HB0056_2007,1.3344698773701067,1,0.5574692155029443
bill_files\filtered\HB0270_2006,1.3529500117329898,1,0.6153132627018951
bill_files\filtered\HB0273_2009,1.2961454480055201,1,0.6486118944148325
bill_files\filtered\HB0014_2016,1.325020775394398,1,0.7520782558461763
bill_files\filtered\SB0057_2016,1.3074243526037086,1,0.6690252167896971
bill_files\filtered\SB0108_2017,1.3186859487077733,1,0.7330868915721115
bill_files\filtered\SB0095_2017,1.3287389083464822,1,0.6394962329155429
bill_files\filtered\SB0106_2016,1.319694528638127,1,0.6707948591837886
bill_files\filtered\HB0031_2009,1.2937433706305128,1,0.403116686150602
bill_files\filtered\SB0054_1999,1.3009474334676432,1,0.36116776916300136
bill_files\filtered\HB0302_2013,1.3190027407643339,1,0.5757681377114755
bill_files\filtered\HB0304_2014,1.3014183330840587,1,0.7431312540533889
bill_files\filtered\HB0313_2009,1.2897845006887552,1,0.8189994752489239
bill_files\filtered\HB0314_2006,1.3367050065150585,1,0.7652658736947564
bill_files\filtered\HB0050_1999,1.3278779419010849,1,0.4659757169008812
bill_files\filtered\HB0049_1998,1.30507499641713,1,0.6829060641204576
