,X,cluster,y
bill_files\filtered\HB0078_1998,0.828903987231451,0,1.198121763738021
bill_files\filtered\SB0082_1999,0.4183000752158631,0,1.3008122289295598
bill_files\filtered\SB0083_2007,0.3703909791213176,0,1.3020547785005299
bill_files\filtered\HB0051_2013,0.6327787704559038,0,1.266074623460991
bill_files\filtered\HB0233_1999,0.8492403851341052,0,1.02937512600149
bill_files\filtered\HB0227_2004,0.5747777257031316,0,1.2881636703212367
bill_files\filtered\SB0106_2017,0.6623211833452414,0,1.2842970311601534
bill_files\filtered\SB0108_2006,0.5125560199903952,0,1.2793474904551079
bill_files\filtered\SB0108_2016,0.6164042261470771,0,1.3020262222849521
bill_files\filtered\HB0207_2014,0.4491455081915172,0,1.3076872275136393
bill_files\filtered\HB0201_1997,0.4999540290555641,0,1.3099487770150595
bill_files\filtered\HB0194_2015,0.5866529211850369,0,1.2743911485388455
bill_files\filtered\SB0130_2016,0.5597352601855272,0,1.28862966595409
bill_files\filtered\HB0190_2012,0.4668277251835843,0,1.2930973827979455
bill_files\filtered\SB0074_2017,0.5204371503722891,0,1.2905174249565359
bill_files\filtered\SB0136_2016,0.6108506925534863,0,1.2652687538172904
bill_files\filtered\HB0185_2016,0.5529149318676999,0,1.2864451438586928
bill_files\filtered\HB0184_2016,0.5164543882808227,0,1.3039118534953478
bill_files\filtered\SB0144_2013,0.6380840848592346,0,1.3107240632476718
bill_files\filtered\HB0175_2009,0.7993357792039733,0,1.3283921535627239
bill_files\filtered\HB0174_2009,0.6171736902782725,0,1.31108656317532
bill_files\filtered\SB0162_2017,0.5078568035443793,0,1.3089554911276586
bill_files\filtered\SB0165_2006,0.5427110522984216,0,1.3101892846852885
bill_files\filtered\SB0166_2017,0.6175376208344407,0,1.3067171478149586
bill_files\filtered\HB0151_2016,0.4618770093887956,0,1.3095049925251958
bill_files\filtered\SB0172_2017,0.7013938360664773,0,1.2916867498118907
bill_files\filtered\HB0147_1999,0.7262708641611039,0,1.2942164566738144
bill_files\filtered\HB0144_2009,0.563548921196492,0,1.279866336176285
bill_files\filtered\HB0143_2014,0.5796691964760209,0,1.287837729794575
bill_files\filtered\HB0057_1998,0.41772410976757013,0,1.3057076481065124
bill_files\filtered\HB0236_2004,0.7690266561925514,0,1.3188892397022742
bill_files\filtered\HB0237_2006,0.7623142171668309,0,1.312333529559474
bill_files\filtered\HB0242_2002,0.5043692130535544,0,1.2993419401096313
bill_files\filtered\HB0441_1998,0.49436880005649775,0,1.300644795112911
bill_files\filtered\HB0396_2017,0.4156886764719749,0,1.2988908255986362
bill_files\filtered\HB0387_2013,0.767887375671403,0,1.3131630297022228
bill_files\filtered\HB0375_2013,0.45518769483996885,0,1.299174774352582
bill_files\filtered\HB0373_2006,0.7866615995115429,0,1.3058641074703035
bill_files\filtered\HB0371_2013,0.7482930709051636,0,1.1947207666772677
bill_files\filtered\HB0367_2014,0.47866654672661485,0,1.299139504625169
bill_files\filtered\HB0351_1998,0.34023378976075885,0,1.2915267675503883
bill_files\filtered\HB0324_2014,0.4389354527382499,0,1.308077010579737
bill_files\filtered\HB0313_1998,0.46775906348905116,0,1.2943223291575394
bill_files\filtered\HB0043_2012,0.7137832409955824,0,1.3091918715984847
bill_files\filtered\HB0285_1997,0.6040869676063998,0,1.3037438664709111
bill_files\filtered\SB0018_1997,0.586012692180332,0,1.300587983964124
bill_files\filtered\HB0284_2006,0.457533971776219,0,1.2961103072040212
bill_files\filtered\SB0020_1997,0.5260803662024095,0,1.2923225785488377
bill_files\filtered\HB0277_2014,0.6471096337295879,0,1.2426765231280783
bill_files\filtered\SB0021_2010,0.7416206406465152,0,1.2863484923894406
bill_files\filtered\HB0273_1997,0.5098421587847809,0,1.3105274532809694
bill_files\filtered\HB0269_2009,0.5040292892594264,0,1.308386355220136
bill_files\filtered\SB0026_1999,0.5280834694983337,0,1.3075417799996487
bill_files\filtered\HB0262_2006,0.643954009666816,0,1.2967816632276634
bill_files\filtered\SB0041_2006,0.5639044987564642,0,1.3074197064299464
bill_files\filtered\SB0042_1999,0.4466057583860282,0,1.2859136140227578
bill_files\filtered\SB0045_2007,0.4006105637560333,0,1.2853984055548262
bill_files\filtered\SB0046_1997,0.44236731582573463,0,1.308526030073574
bill_files\filtered\SB0046_2001,0.5065781115309309,0,1.2836397434930342
bill_files\filtered\SB0048_2017,0.6052167214440932,0,1.2823405179198382
bill_files\filtered\SB0056_2016,0.5554337398640758,0,1.2899267538147594
bill_files\filtered\SB0058_2016,0.5098738733583,0,1.2917149420341345
bill_files\filtered\HB0142_2017,0.47779512483969266,0,1.2908667829442495
bill_files\filtered\HB0137_2006,0.389847817002102,0,1.2735352229913957
bill_files\filtered\HB0051_2012,0.4638940727108234,0,1.2970922144923176
bill_files\filtered\SB0212_2017,0.6945400574429077,0,1.293756915859864
bill_files\filtered\HB0075_2013,0.7618072305388167,0,1.2933808860610942
bill_files\filtered\HB0112_2002,0.5222110962420452,0,1.3112895591078981
bill_files\filtered\HB0100_2016,0.7618132150624041,0,1.272613891485302
bill_files\filtered\HB0099_2009,0.6684225801804391,0,1.3173594790991106
bill_files\filtered\HB0098_2014,0.7196366535289987,0,1.2945957952066085
bill_files\filtered\SB0195_1999,0.6480144197623681,0,1.3045315880317785
bill_files\filtered\HB0092_2006,0.5440521226436682,0,1.2851013102610318
bill_files\filtered\HB0127_2004,0.46183527043238126,0,1.2762010184892199
bill_files\filtered\SB0194_1997,0.6519701281718079,0,1.3051172879744926
bill_files\filtered\HB0096_2002,0.6669462019362298,0,1.2694443930300978
bill_files\filtered\SB0248_2017,0.7871508282782835,0,1.2701570677438698
bill_files\filtered\HB0074_2006,0.3304619246604918,0,1.297382706281025
bill_files\filtered\HB0088_2015,0.6308311253629985,0,1.3065744390845955
bill_files\filtered\HB0114_2012,0.5347501174576308,0,1.2847252607742006
bill_files\filtered\HB0094_2017,0.7564920066075894,0,1.2998594989522534
bill_files\filtered\HB0130_2017,0.8598976766271896,0,1.2846391675489417
bill_files\filtered\HB0070_2004,0.49004955625687036,0,1.293936743620497
bill_files\filtered\HB0121_2015,0.7831787733407874,0,1.292353149212934
bill_files\filtered\HB0085_2012,0.7743723623559507,0,1.28916658420409
bill_files\filtered\HB0201_2002,1.2317007610021808,1,0.45094805130061727
bill_files\filtered\HB0206_1997,1.2479197076925517,1,0.6377458476116789
bill_files\filtered\HB0199_2009,1.246824341801346,1,0.4984607277405652
bill_files\filtered\HB0036_1997,1.2461909355850398,1,0.4854159613186898
bill_files\filtered\HB0318_2004,1.227624633607688,1,0.619161894831825
bill_files\filtered\HB0054_2008,1.228137902734648,1,0.3205845248788454
bill_files\filtered\SB0120_2016,1.248076856595579,1,0.44979371312403954
bill_files\filtered\SB0087_1997,1.247611696165685,1,0.512163442631596
bill_files\filtered\HB0111_2015,1.2504439377977987,1,0.5093197911811479
bill_files\filtered\HB0229_2009,1.2269061867655553,1,0.6880766163328061
bill_files\filtered\SB0088_1997,1.2513225864913966,1,0.5698120499423857
bill_files\filtered\HB0181_1999,1.2410006750242772,1,0.4448291883819106
bill_files\filtered\HB0268_1999,1.2420873631999723,1,0.3601421070975042
bill_files\filtered\HB0049_2013,1.2455429310286628,1,0.6926582749718119
bill_files\filtered\HB0252_2004,1.2395879437827118,1,0.36417485294042057
bill_files\filtered\SB0029_2008,1.2326533654859664,1,0.20552651149260734
bill_files\filtered\HB0261_2012,1.2596424472761953,1,0.5545396538531817
bill_files\filtered\HB0047_2017,1.262936216041518,1,0.81348223192584
bill_files\filtered\HB0256_2006,1.2429187890049092,1,0.45700542224376783
bill_files\filtered\SB0036_2006,1.2357319892810144,1,0.3032023167348669
bill_files\filtered\SB0221_2006,1.2600642801094122,1,0.5122259705741109
bill_files\filtered\HB0261_2006,1.2413938871761216,1,0.2664926510897951
bill_files\filtered\SB0111_2006,1.2374628592694907,1,0.7448358873424368
bill_files\filtered\SB0251_1997,1.2360193710836447,1,0.354310188392615
bill_files\filtered\HB0203_1998,1.2371056119981387,1,0.4477187844213111
bill_files\filtered\HB0023_2009,1.2497728103553307,1,0.32765534831720744
bill_files\filtered\HB0067_2009,1.243528117166015,1,0.5041084045088156
bill_files\filtered\HB0418_2009,1.2556728543278388,1,0.6406763427673514
bill_files\filtered\HB0086_2013,1.2405830408135803,1,0.3989169880879405
bill_files\filtered\HB0157_2009,1.240214611556037,1,0.6554123379482972
bill_files\filtered\HB0420_1998,1.239415838387423,1,0.44453376055648225
bill_files\filtered\HB0026_2017,1.248845477781769,1,0.41621032275296604
bill_files\filtered\HB0146_2002,1.2344958784677937,1,0.23971023962423535
bill_files\filtered\HB0061_1997,1.2413907695063935,1,0.24896171311889587
bill_files\filtered\HB0129_1997,1.2353787745874358,1,0.2181254731077045
bill_files\filtered\HB0025_2016,1.2338067031661857,1,0.2702200161424448
bill_files\filtered\HB0095_2009,1.2238414549764862,2,1.3101488799044152
bill_files\filtered\HB0258_2004,1.2022955243993472,2,1.3124769309095408
bill_files\filtered\HB0290_2009,1.2139918790016968,2,1.3072425059107822
bill_files\filtered\HB0227_2002,1.1710662532289775,2,1.3084362648125563
bill_files\filtered\HB0111_2006,1.228043421985805,2,1.3141870157203737
bill_files\filtered\HB0103_2013,1.2169383706394892,2,1.3115629177550692
bill_files\filtered\HB0079_2015,1.2237612395914665,2,1.3151182097540022
bill_files\filtered\HB0048_1998,1.2069140601816095,2,1.30101577043836
bill_files\filtered\HB0234_2006,1.2217355349208998,2,1.3141724167843034
bill_files\filtered\HB0281_2009,1.2176690933377456,2,1.3089357173221592
bill_files\filtered\SB0082_2017,1.238103376794431,2,1.3318574093020654
bill_files\filtered\HB0432_2006,1.203386689048779,2,1.2950908667989203
bill_files\filtered\HB0124_2016,1.1359234055535479,2,1.3131866454967063
bill_files\filtered\HB0050_1997,1.22784194418932,2,1.306928887010891
bill_files\filtered\HB0248_2009,1.221013676120567,2,1.3102737956648922
bill_files\filtered\HB0063_2015,1.208770202860077,2,1.3085094618233133
bill_files\filtered\HB0176_2004,1.2270557574994254,2,1.3143290169363993
bill_files\filtered\HB0029_2002,1.2102634875705875,2,1.311219362514673
bill_files\filtered\HB0382_2009,1.2023942254194155,2,1.3601177363738264
bill_files\filtered\HB0337_2004,1.2400637951572793,2,1.3213696263525894
bill_files\filtered\SB0132_2006,1.1900723531602255,2,1.2348839486628984
bill_files\filtered\HB0170_1999,1.2128253362172514,3,1.2732218259632788
bill_files\filtered\SB0020_2013,1.168501444366587,3,1.3023974891959123
bill_files\filtered\SB0075_2006,1.2120328849518733,3,1.266179847551
bill_files\filtered\HB0013_1999,1.2118765705876515,3,1.316711916329879
bill_files\filtered\HB0274_1998,1.206628438479535,3,1.277431371464108
bill_files\filtered\HB0096_2016,1.200229260614053,3,1.2537122602621404
bill_files\filtered\SB0227_1999,1.2284381572239527,3,1.2940771086217286
bill_files\filtered\HB0050_2006,1.2279409258136318,3,1.2993920533746037
bill_files\filtered\HB0037_1998,1.248385034265005,3,1.3116126318690586
bill_files\filtered\HB0188_2004,1.209368636282989,3,1.2081129827984591
bill_files\filtered\HB0187_1998,1.2231018824421827,3,1.3244317013604896
bill_files\filtered\HB0008_2002,1.2005355835368483,3,1.229923405057031
bill_files\filtered\HB0049_2006,1.220725241997801,3,1.2481049135533027
bill_files\filtered\HB0261_2013,1.2033560799473695,3,1.2371471151588977
bill_files\filtered\HJR003_2016,1.1856268643824508,3,1.2913553476397528
bill_files\filtered\HB0034_1999,1.2429493207280886,3,1.3145418737414596
bill_files\filtered\HB0184_1998,1.203286956912639,3,1.2525062126472855
bill_files\filtered\HB0140_2016,1.1966176185929616,3,1.271978461469225
bill_files\filtered\HB0122_2015,1.1960035501142388,3,1.2889185892875725
