,X,cluster,y
bill_files\filtered\HB0055_2017,0.7169475307998701,0,1.1997279199800344
bill_files\filtered\HB0089_1998,0.45560887419964885,0,1.2769175355020232
bill_files\filtered\SB0231_2017,0.604760405071948,0,1.2424118193416154
bill_files\filtered\HB0384_1999,0.6034461714550698,0,1.274885070734631
bill_files\filtered\SB0156_1999,0.4794441853381478,0,1.214014349343204
bill_files\filtered\HB0277_1998,0.7382137356987809,0,1.2738726643429896
bill_files\filtered\SB0063_2017,0.47008460284198533,0,1.263091971427847
bill_files\filtered\HB0234_2013,0.7658619139294751,0,1.280836230062035
bill_files\filtered\HB0236_2006,0.7102514472922248,0,1.2366376549776315
bill_files\filtered\HB0239_1997,0.6351624939083782,0,1.2317960357743007
bill_files\filtered\SB0009_2007,0.42003937387556345,0,1.2569315736269764
bill_files\filtered\HB0057_2015,0.5706074249453216,0,1.2144679285355582
bill_files\filtered\HB0444_2006,0.7772816930861048,0,1.2524139190189632
bill_files\filtered\HB0338_1997,0.5872564208559526,0,1.2548157521808507
bill_files\filtered\SB0005_2003,0.7947874071779272,0,1.1770092043098124
bill_files\filtered\SB0084_2006,0.4304281097110259,0,1.2566418546657234
bill_files\filtered\HB0322_1997,0.5695983308080499,0,1.2068471993104046
bill_files\filtered\HB0267_2016,0.8993141083079914,0,1.2337791262046733
bill_files\filtered\HB0273_2015,0.7815898931270461,0,1.175529526489577
bill_files\filtered\SB0099_2007,0.4064018686519231,0,1.2445430685166206
bill_files\filtered\HB0325_1998,0.4553245956422357,0,1.2697186536050493
bill_files\filtered\HB0042_1999,0.4945353963801442,0,1.2840939745176863
bill_files\filtered\HB0277_1999,0.6198267728973929,0,1.2238323677339504
bill_files\filtered\SB0173_2016,0.48942831594484,0,1.2248424612442064
bill_files\filtered\HB0041_2017,0.380458543775965,0,1.2432808326257871
bill_files\filtered\SB0195_2017,0.6952716969518266,0,1.189619477421355
bill_files\filtered\HB0127_2006,0.7813219706227359,0,1.2702655638142408
bill_files\filtered\HB0323_1998,0.7521139767118902,0,1.3037382831335653
bill_files\filtered\HB0295_1997,0.7826160230375157,0,1.2939705781358208
bill_files\filtered\HB0222_1999,0.4328831815861111,0,1.2639784596085908
bill_files\filtered\HB0220_1999,0.7905318931653021,0,1.1752823330414075
bill_files\filtered\HB0111_2002,0.6113982005359847,0,1.2452844318694443
bill_files\filtered\HB0224_2006,0.720493841361387,0,1.194904142839811
bill_files\filtered\HB0053_2007,0.6092683965712519,0,1.204891057735189
bill_files\filtered\HB0039_2008,0.8221031906232346,0,1.251017272101338
bill_files\filtered\SB0040_2016,0.7760861194694764,0,1.2618684429896874
bill_files\filtered\SB0022_2006,0.7954210049936332,0,1.191983623618711
bill_files\filtered\HB0026_1998,0.4916889405311357,0,1.2825138159006788
bill_files\filtered\SB0137_2006,0.5228340642655979,0,1.2521047784762107
bill_files\filtered\SB0275_2017,0.6915332310908266,0,1.251616685182722
bill_files\filtered\HB0351_1997,0.5345611806907636,0,1.2141891976997896
bill_files\filtered\HB0026_1997,0.8390881283441812,0,1.2803794824728867
bill_files\filtered\HB0106_2013,1.213481794288958,1,0.5310888045513092
bill_files\filtered\HB0247_2016,1.2544430365506796,1,0.5192323626314219
bill_files\filtered\SB0140_2016,1.1857407340477717,1,0.6282722829436035
bill_files\filtered\HB0331_1997,1.2039709346817489,1,0.7376957647015121
bill_files\filtered\HB0455_2016,1.2062595989745177,1,0.4629366096445931
bill_files\filtered\HB0437_2016,1.1910730360010013,1,0.42621205624907926
bill_files\filtered\HB0190_1999,1.1896400644209566,1,0.6714330045373174
bill_files\filtered\HB0106_2002,1.186554161306227,1,0.736704979826407
bill_files\filtered\SB0189_2007,1.213071427120079,1,0.467412368638095
bill_files\filtered\HB0401_2014,1.2093509724531266,1,0.49945696482177704
bill_files\filtered\HB0329_2013,1.2487851437777322,1,0.5214286084452708
bill_files\filtered\HB0172_2017,1.1834611214065454,1,0.4858956821126215
bill_files\filtered\HB0249_2004,1.2370422704162547,1,0.57717799098539
bill_files\filtered\HB0016_2008,1.2177704921667825,1,0.5472821722463758
bill_files\filtered\HB0315_2013,1.202080985895144,1,0.4382934820258886
bill_files\filtered\SB0088_2017,1.2210002659699208,1,0.5096877321398816
bill_files\filtered\HB0125_2012,1.2352189695546576,1,0.43356692438122263
bill_files\filtered\SB0032_2016,1.2121379236946301,1,0.6723808258829734
bill_files\filtered\SB0166_2013,1.2117092053718148,1,0.5487545045808815
bill_files\filtered\HB0024_2006,1.2363807944791596,1,0.46673891832738423
bill_files\filtered\SB0274_2017,1.1971593821316628,1,0.5804982257943293
bill_files\filtered\HB0117_2002,1.1915216603459609,1,0.6095358440897601
bill_files\filtered\HB0199_2015,1.2297956668781014,1,0.6374938918224199
bill_files\filtered\HB0197_2006,1.2311716367425103,1,0.5221078603841992
bill_files\filtered\HB0098_2012,1.2256774849888736,1,0.37833620075194896
bill_files\filtered\SB0240_2006,1.2250977671535972,1,0.5296315036013346
bill_files\filtered\HB0128_2006,1.2327240496484067,1,0.47591410940817763
bill_files\filtered\SB0021_2016,1.1564899522850691,1,0.6085759163697296
bill_files\filtered\SB0154_2016,1.211597556339446,1,0.4418852648978058
bill_files\filtered\HB0306_1997,1.1159244709836194,1,0.7766085779650049
bill_files\filtered\HB0046_2012,1.1889783383322166,1,0.5048463965297418
bill_files\filtered\SB0054_2013,1.24174780314483,1,0.6007550344980445
bill_files\filtered\SB0039_2016,1.2057866082354631,1,0.5671160228284605
bill_files\filtered\HB0288_2006,1.2308156016495078,1,0.6349674745216646
bill_files\filtered\HB0086_2004,1.1829679552397705,1,0.7340455762422872
bill_files\filtered\SB0199_2016,1.2374287963141464,1,0.7318072261324027
bill_files\filtered\HB0386_2016,1.2357184405387502,1,0.6221621994214778
bill_files\filtered\SB0006_2006,1.1789665070652238,1,0.7022313250690772
bill_files\filtered\HB0292_2013,1.2193341187183908,1,0.6101969561147014
bill_files\filtered\HB0303_2009,1.2631729616195113,1,0.671614901903028
bill_files\filtered\HB0137_1998,1.1469468080018643,1,0.6563672439369534
bill_files\filtered\SB0010_1999,1.1811327159906042,1,0.762413050348402
bill_files\filtered\HB0244_2004,1.2476977832780018,1,0.5276576950115455
bill_files\filtered\HB0113_2017,1.2291955913315746,1,0.6021751415351024
bill_files\filtered\HB0297_1998,1.222062391657203,2,1.2772007243088084
bill_files\filtered\HB0111_1999,1.1803913052082127,2,1.24249309949483
bill_files\filtered\SB0120_2013,1.1909296956191568,2,1.2510868634838836
bill_files\filtered\HB0453_2017,1.1450836550967012,2,1.275049907512875
bill_files\filtered\HB0164_2013,1.1635238116470683,2,1.2025597811550024
bill_files\filtered\HB0168_2009,1.2299294827351812,2,1.3020161519553797
bill_files\filtered\HB0112_1999,1.2248488309031502,2,1.2666468299474685
bill_files\filtered\SB0122_2016,1.0950917043850683,2,1.1967065856625663
bill_files\filtered\HB0069_2002,1.1676976228464724,2,1.2366972123397209
bill_files\filtered\HB0448_2006,1.1791217693425848,2,1.2317390373272084
bill_files\filtered\HB0459_2017,1.1953804619697244,2,1.1110833794707127
bill_files\filtered\HB0279_2013,1.228744950452107,2,1.2455755019821018
bill_files\filtered\HB0286_2012,1.2005559371061034,2,1.2390798798845237
bill_files\filtered\HB0364_1997,1.1916783001780749,2,1.2507783532822416
bill_files\filtered\SB0101_2006,1.0822609213819163,2,1.2207935342020184
bill_files\filtered\HB0199_1997,1.1991217112685335,2,1.2611405089605177
