,Representatives,HB0012,HB0019,HB0010,HB0008,HB0003,HB0004,HB0014,HB0029,HB0030,HB0015,HB0038,HB0025,HB0020,HB0040,HB0011,HB0219,HB0251,HB0075,HB0221,HB0199,HB0252,HB0061,HB0175,HB0266,HJR012,HB0023,SB0049,SB0114,HB0107,SB0098,SB0024,SB0104,SB0126,SB0123,HB0262,HB0264,HB0084,HB0074,HB0083,HB0042,HB0022,HB0111,HB0186,SB0112,SB0032,SB0314,HB0183,SB0073,SB0221,SB0165,SB0206,SB0285,SB0317,SB0089,SB0077,SB0244,SB0030,SB0181,SB0177,SB0044,HB0027,HB0104,SB0010,HB0039,HB0036,HB0037,HB0001,HB0002,HB0032,HB0076,HB0287,SB0147,HB0454,SB0138,SB0184,SB0318,SB0293,SB0186,SB0261,SB0149,SB0319,SB0052,SB0301,SB0001,SB0002,SB0003,HB0466,SB0248
34,"Hughes, G.",0,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,2,1,1,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
35,"Hutchings, E.",0,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,2,1,1,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
36,"Ipson, D.",1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,0,0,1,1,1,1,2,0,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
37,"Ivory, K.",1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,0,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
38,"King, B. S.",1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,1,2,1,0,0,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
39,"Kiser, T.",1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,1,2,1,2,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1
40,"Last, B.",1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,0,1,2,1,1,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
41,"Litvack, D.",1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,2,0,1,2,1,1,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
42,"Lockhart, R.",1,1,1,1,1,2,0,0,1,0,0,1,1,1,1,0,0,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,1,2,0,1,0,1,1,1,0,2,1,0,1,0,1,2,0,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,"Mathis, J.",1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
